SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_THREE_ATT_PER36	THREE_ATT_PER36	CHANGE_IN_THPAP36	COMBINED_MINUTES
139997	23-DEC-17	Anthony Davis	1.11319340329835082458770614692653673163	1.125	0.01180659670164917541229385307346326837	63
139998	23-DEC-17	Jrue Holiday	3.90591805766312594840667678300455235205	3.48387096774193548387096774193548387097	-0.42204708992119046453570904106906848108	61
140001	23-DEC-17	Rajon Rondo	2.21263940520446096654275092936802973978	1.56521739130434782608695652173913043478	-0.647422013900113140455794407628899305	46
140000	23-DEC-17	E'Twaun Moore	3.89147508210766814222476081679280308439	2.66666666666666666666666666666666666667	-1.22480841544100147555809415012613641772	48
140004	23-DEC-17	Darius Miller	5.45756020529016975917883932096328464272	8.57142857142857142857142857142857142857	3.11386836613840166939258925046528678585	48
140002	23-DEC-17	Dante Cunningham	1.91479591836734693877551020408163265306	2.76923076923076923076923076923076923077	0.85443485086342229199372056514913657771	52
140005	23-DEC-17	Jameer Nelson	5.84875280454005543090933086973736307246	3.42857142857142857142857142857142857143	-2.42018137596862685948075944116593450103	41
140003	23-DEC-17	Ian Clark	5.24881141045958795562599049128367670365	10.95652173913043478260869565217391304348	5.70771032867084682698270516089023633983	41
139910	23-DEC-17	Jonathon Simmons	2.95102466134074331365057311566516151442	8.64	5.68897533865925668634942688433483848558	56
139913	23-DEC-17	D.J. Augustin	5.46564885496183206106870229007633587786	7.5	2.03435114503816793893129770992366412214	54
139909	23-DEC-17	Elfrid Payton	1.52410383189122373300370828182941903585	0	-1.52410383189122373300370828182941903585	65
139908	23-DEC-17	Mario Hezonja	5.24009989297181591152336782019265073136	4	-1.24009989297181591152336782019265073136	56
139914	23-DEC-17	Bismack Biyombo	0.005206073752711496746203904555314533622576	0	-0.005206073752711496746203904555314533622576	40
139911	23-DEC-17	Wesley Iwundu	1.68667642752562225475841874084919472914	2.88	1.19332357247437774524158125915080527086	40
139978	23-DEC-17	Austin Rivers	3.96825396825396825396825396825396825397	8.72727272727272727272727272727272727273	4.75901875901875901875901875901875901876	72
139977	23-DEC-17	DeAndre Jordan	0.016399416909620991253644314868804664723	0	-0.016399416909620991253644314868804664723	69
139979	23-DEC-17	C.J. Williams	4.15686274509803921568627450980392156863	3.375	-0.78186274509803921568627450980392156863	63
139981	23-DEC-17	Jamil Wilson	9.19148936170212765957446808510638297872	6.85714285714285714285714285714285714286	-2.33434650455927051671732522796352583586	44
139982	23-DEC-17	Lou Williams	7.01789883268482490272373540856031128405	13.37142857142857142857142857142857142857	6.35352973874374652584769316286826014452	74
139983	23-DEC-17	Sam Dekker	3.80965909090909090909090909090909090909	2	-1.80965909090909090909090909090909090909	46
140011	23-DEC-17	Tyler Johnson	4.14876437484707609493516026425250795204	7.71428571428571428571428571428571428571	3.56552133943863819077912545003320633367	67
140009	23-DEC-17	Bam Adebayo	0.1880877742946708463949843260188087774295	1.2	1.01191222570532915360501567398119122257	68
140008	23-DEC-17	Josh Richardson	4.30626702997275204359673024523160762943	4.86486486486486486486486486486486486486	0.55859783489211282126813461963325723543	73
140012	23-DEC-17	Kelly Olynyk	4.56980703745743473325766174801362088536	2.76923076923076923076923076923076923077	-1.80057626822666550248843097878285165459	52
140013	23-DEC-17	Wayne Ellington	7.07730441518202943454686289697908597986	10.28571428571428571428571428571428571429	3.20840987053225627973885138873519973443	74
140014	23-DEC-17	Jordan Mickey	1.06930693069306930693069306930693069307	1.89473684210526315789473684210526315789	0.82542991141219385096404377279833246482	41
140020	23-DEC-17	Paul George	6.75606002308580223162754905732974220854	6.81081081081081081081081081081081081081	0.05475078772500857918326175348106860227	77
