SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_BLOCKS_PER36	BLOCKS_PER36	CHANGE_IN_BP36	COMBINED_MINUTES
1825	10-NOV-12	Ersan Ilyasova	0.5130759651307596513075965130759651307596	0	-0.5130759651307596513075965130759651307596	54
1832	10-NOV-12	Mike Dunleavy	0.5932721712538226299694189602446483180444	0	-0.5932721712538226299694189602446483180444	47
1828	10-NOV-12	Larry Sanders	3.05944517833553500660501981505944517834	1.38461538461538461538461538461538461539	-1.67482979372015039122040443044406056295	57
1831	10-NOV-12	Ekpe Udoh	2.20645161290322580645161290322580645161	2.25	0.04354838709677419354838709677419354839	46
1725	10-NOV-12	A.J. Price	0.0804169769173492181682799702159344750559	0	-0.0804169769173492181682799702159344750559	73
1727	10-NOV-12	Emeka Okafor	1.48709122203098106712564543889845094664	1.09090909090909090909090909090909090909	-0.39618213112189015803473634798936003755	68
1726	10-NOV-12	Bradley Beal	0.3846545232522641701434822428004477460068	1.02857142857142857142857142857142857143	0.6439169053191644012850891857709808254232	69
1729	10-NOV-12	Trevor Ariza	0.2918739635157545605306799336650082918739	1.38461538461538461538461538461538461539	1.09274142109963005485393545095037632352	58
1728	10-NOV-12	Trevor Booker	0.8404669260700389105058365758754863813244	1.16129032258064516129032258064516129032	0.3208233965106062507844860047696749089956	58
1706	10-NOV-12	Jrue Holiday	0.5540862779102536310427053977888575764148	1.02857142857142857142857142857142857143	0.4744851506611749403858660307825709950152	77
1707	10-NOV-12	Thaddeus Young	0.5488406061712616395837137118860690158844	0	-0.5488406061712616395837137118860690158844	75
1705	10-NOV-12	Evan Turner	0.3043389692401711142798940721124465267875	0.972972972972972972972972972972972972972	0.6686340037328018586930789008605264461845	78
1708	10-NOV-12	Dorell Wright	0.7665847665847665847665847665847665847668	0	-0.7665847665847665847665847665847665847668	63
1709	10-NOV-12	Lavoy Allen	1.12003363464368299348328778642001261299	0	-1.12003363464368299348328778642001261299	44
1711	10-NOV-12	Spencer Hawes	1.53113303844845185437223545423613473971	1.56521739130434782608695652173913043478	0.03408435285589597171472106750299569507	45
